customer_id,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,Segment
2001.0,92,2,203.92000000000002,4,1,1,6,At Risk
2004.0,72,2,1198.56,4,1,4,9,Potential
2005.0,149,4,959.5999999999999,3,4,4,11,Loyal
2006.0,478,1,327.06,1,1,1,3,Lost
2007.0,30,1,318.63,5,1,1,7,Potential
2008.0,77,5,1294.32,4,4,4,12,Loyal
2009.0,225,3,2255.21,2,3,5,10,Loyal
2012.0,305,3,841.5,2,3,3,8,Potential
2013.0,146,2,364.20000000000005,3,1,2,6,At Risk
2014.0,431,5,1066.15,1,4,4,9,Potential
2015.0,14,2,345.24,5,1,1,7,Potential
2016.0,589,1,664.26,1,1,3,5,At Risk
2017.0,387,4,904.65,1,4,3,8,Potential
2018.0,223,3,1281.17,2,3,4,9,Potential
2019.0,248,5,1653.15,2,4,5,11,Loyal
2020.0,98,3,923.9,4,3,3,10,Loyal
2022.0,195,5,814.1700000000001,3,4,3,10,Loyal
2023.0,399,1,583.71,1,1,2,4,At Risk
2024.0,33,2,345.93,5,1,1,7,Potential
2025.0,71,6,1804.79,4,5,5,14,VIP Champions
2026.0,84,7,1933.66,4,5,5,14,VIP Champions
2027.0,66,4,1357.05,4,4,4,12,Loyal
2028.0,108,3,496.83000000000004,4,3,2,9,Potential
2029.0,279,3,1888.0600000000002,2,3,5,10,Loyal
2030.0,161,2,2391.13,3,1,5,9,Potential
2031.0,116,6,2052.0499999999997,4,5,5,14,VIP Champions
2032.0,118,1,215.58,4,1,1,6,At Risk
2033.0,141,3,950.18,3,3,3,9,Potential
2034.0,105,5,1431.18,4,4,5,13,VIP Champions
2035.0,242,3,1481.19,2,3,5,10,Loyal
2036.0,111,2,571.48,4,1,2,7,Potential
2037.0,61,3,893.3000000000001,5,3,3,11,Loyal
2038.0,294,1,1484.2,2,1,5,8,Potential
2040.0,135,3,453.53999999999996,3,3,2,8,Potential
2041.0,726,2,1275.25,1,1,4,6,At Risk
2042.0,153,2,147.0,3,1,1,5,At Risk
2044.0,108,3,419.37,4,3,2,9,Potential
2046.0,99,7,1422.57,4,5,4,13,VIP Champions
2047.0,313,1,196.91,2,1,1,4,At Risk
2048.0,115,2,264.74,4,1,1,6,At Risk
2049.0,118,4,1364.73,4,4,4,12,Loyal
2050.0,118,3,591.24,4,3,2,9,Potential
2051.0,48,3,956.89,5,3,4,12,Loyal
2052.0,144,3,1073.25,3,3,4,10,Loyal
2053.0,320,4,1198.6200000000001,2,4,4,10,Loyal
2054.0,278,4,913.91,2,4,3,9,Potential
2055.0,93,2,494.63,4,1,2,7,Potential
2056.0,30,3,226.03,5,3,1,9,Potential
2058.0,12,1,312.26,5,1,1,7,Potential
2059.0,82,4,1044.97,4,4,4,12,Loyal
2061.0,682,1,57.08,1,1,1,3,Lost
2062.0,72,2,387.70000000000005,4,1,2,7,Potential
2063.0,333,1,81.48,1,1,1,3,Lost
2064.0,193,4,900.95,3,4,3,10,Loyal
2065.0,221,1,45.21,2,1,1,4,At Risk
2066.0,242,2,351.95000000000005,2,1,2,5,At Risk
2067.0,116,3,709.47,4,3,3,10,Loyal
2068.0,81,4,783.78,4,4,3,11,Loyal
2069.0,24,4,1310.02,5,4,4,13,VIP Champions
2070.0,28,5,1741.54,5,4,5,14,VIP Champions
2071.0,290,5,493.20000000000005,2,4,2,8,Potential
2072.0,18,2,541.34,5,1,2,8,Potential
2073.0,402,2,2233.7000000000003,1,1,5,7,Potential
2074.0,527,3,1231.97,1,3,4,8,Potential
2075.0,70,3,581.54,4,3,2,9,Potential
2076.0,402,1,351.62,1,1,2,4,At Risk
2077.0,60,4,1632.05,5,4,5,14,VIP Champions
2078.0,540,3,659.35,1,3,3,7,Potential
2079.0,161,2,187.20999999999998,3,1,1,5,At Risk
2080.0,199,3,1063.2,3,3,4,10,Loyal
2081.0,335,3,792.99,1,3,3,7,Potential
2082.0,152,2,520.61,3,1,2,6,At Risk
2083.0,2,2,605.69,5,1,2,8,Potential
2084.0,170,2,527.21,3,1,2,6,At Risk
2085.0,66,4,606.26,4,4,2,10,Loyal
2087.0,209,3,936.1800000000001,2,3,3,8,Potential
2088.0,172,1,439.66,3,1,2,6,At Risk
2090.0,190,3,935.06,3,3,3,9,Potential
2091.0,207,2,1216.95,2,1,4,7,Potential
2092.0,316,1,405.04,2,1,2,5,At Risk
2093.0,433,4,1511.21,1,4,5,10,Loyal
2095.0,390,5,1055.76,1,4,4,9,Potential
2096.0,287,4,1000.87,2,4,4,10,Loyal
2097.0,124,5,715.54,3,4,3,10,Loyal
2098.0,192,1,225.36,3,1,1,5,At Risk
2099.0,107,5,1199.12,4,4,4,12,Loyal
2100.0,323,1,80.39,2,1,1,4,At Risk
2103.0,187,2,312.33000000000004,3,1,1,5,At Risk
2104.0,183,4,1285.72,3,4,4,11,Loyal
2106.0,27,3,692.29,5,3,3,11,Loyal
2107.0,189,3,997.6400000000001,3,3,4,10,Loyal
2108.0,113,6,2169.41,4,5,5,14,VIP Champions
2109.0,241,1,121.51,2,1,1,4,At Risk
2110.0,414,4,405.04,1,4,2,7,Potential
2111.0,126,3,1918.08,3,3,5,11,Loyal
2112.0,137,3,820.4200000000001,3,3,3,9,Potential
2113.0,286,2,189.08,2,1,1,4,At Risk
2114.0,332,3,1037.37,1,3,4,8,Potential
2115.0,14,6,1635.44,5,5,5,15,VIP Champions
2117.0,161,4,2215.73,3,4,5,12,Loyal
2118.0,103,3,611.11,4,3,2,9,Potential
2119.0,52,6,1243.09,5,5,4,14,VIP Champions
2120.0,269,3,805.1300000000001,2,3,3,8,Potential
2121.0,238,2,302.84000000000003,2,1,1,4,At Risk
2122.0,753,1,16.62,1,1,1,3,Lost
2123.0,4,3,983.6700000000001,5,3,4,12,Loyal
2124.0,235,2,363.28000000000003,2,1,2,5,At Risk
2126.0,61,2,263.86,5,1,1,7,Potential
2127.0,382,1,334.46,1,1,1,3,Lost
2128.0,476,3,800.3199999999999,1,3,3,7,Potential
2129.0,445,2,197.7,1,1,1,3,Lost
2130.0,217,3,941.0699999999999,2,3,3,8,Potential
2132.0,178,6,1806.17,3,5,5,13,VIP Champions
2133.0,11,2,350.75,5,1,2,8,Potential
2136.0,523,2,1102.95,1,1,4,6,At Risk
2137.0,233,3,674.3,2,3,3,8,Potential
2139.0,298,2,284.13,2,1,1,4,At Risk
2140.0,107,1,451.62,4,1,2,7,Potential
2141.0,168,3,678.09,3,3,3,9,Potential
2142.0,126,4,572.59,3,4,2,9,Potential
2143.0,221,7,1863.9699999999998,2,5,5,12,Loyal
2144.0,73,1,210.76,4,1,1,6,At Risk
2147.0,76,1,558.86,4,1,2,7,Potential
2148.0,108,1,411.78,4,1,2,7,Potential
2149.0,246,2,543.76,2,2,2,6,At Risk
2150.0,12,1,229.55,5,1,1,7,Potential
2151.0,59,1,446.95,5,1,2,8,Potential
2153.0,300,2,397.71,2,2,2,6,At Risk
2154.0,11,66,20726.79,5,5,5,15,VIP Champions
2156.0,76,5,1149.93,4,5,4,13,VIP Champions
2157.0,24,2,1131.46,5,2,4,11,Loyal
2158.0,146,2,1207.22,3,2,4,9,Potential
2159.0,377,2,1070.58,1,2,4,7,Potential
2160.0,393,2,598.4300000000001,1,2,2,5,At Risk
2162.0,166,2,451.82,3,2,2,7,Potential
2163.0,9,5,2542.08,5,5,5,15,VIP Champions
2164.0,387,1,205.0,1,1,1,3,Lost
2165.0,130,3,902.9,3,3,3,9,Potential
2166.0,99,1,232.61,4,1,1,6,At Risk
2167.0,142,5,2032.9099999999999,3,5,5,13,VIP Champions
2168.0,670,3,881.22,1,3,3,7,Potential
2169.0,201,1,53.01,3,1,1,5,At Risk
2170.0,24,1,327.28,5,1,1,7,Potential
2172.0,402,2,746.53,1,2,3,6,At Risk
2174.0,216,3,2285.2200000000003,2,3,5,10,Loyal
2175.0,124,6,1342.4,3,5,4,12,Loyal
2176.0,166,3,777.0,3,3,3,9,Potential
2177.0,461,1,141.05,1,1,1,3,Lost
2178.0,62,4,1435.76,4,4,5,13,VIP Champions
2179.0,143,4,1374.26,3,4,4,11,Loyal
2180.0,689,2,1451.98,1,2,5,8,Potential
2182.0,69,1,26.79,4,1,1,6,At Risk
2183.0,261,7,2139.4700000000003,2,5,5,12,Loyal
2184.0,465,2,553.85,1,2,2,5,At Risk
2186.0,342,2,240.06,1,2,1,4,At Risk
2187.0,82,5,1175.46,4,5,4,13,VIP Champions
2189.0,573,1,110.7,1,1,1,3,Lost
2190.0,39,2,942.11,5,2,3,10,Loyal
2191.0,198,4,924.33,3,4,3,10,Loyal
2192.0,68,8,2695.53,4,5,5,14,VIP Champions
2193.0,86,3,1066.29,4,3,4,11,Loyal
